size_sq_ft,propertyType,bedrooms,localityName,price,price_per_sqft,location_avg_price
1000,Independent Floor,2,Krishna Nagar,14000,14.0,25532.05128205128
650,Independent Floor,2,mayur vihar phase 1,16000,24.615384615384617,19561.660079051384
1000,Independent Floor,3,Preet Vihar,17000,17.0,23355.555555555555
1000,Independent Floor,2,Preet Vihar,15000,15.0,23355.555555555555
800,Apartment,2,mayur vihar phase 1,20000,25.0,19561.660079051384
1100,Apartment,3,mayur vihar phase 1,30000,27.272727272727273,19561.660079051384
650,Independent Floor,2,mayur vihar phase 1,11500,17.692307692307693,19561.660079051384
500,Apartment,2,mayur vihar phase 1,11000,22.0,19561.660079051384
600,Apartment,2,mayur vihar phase 1,11000,18.333333333333332,19561.660079051384
600,Apartment,2,mayur vihar phase 1,11500,19.166666666666668,19561.660079051384
500,Apartment,2,mayur vihar phase 1,10000,20.0,19561.660079051384
550,Apartment,2,mayur vihar phase 1,12000,21.818181818181817,19561.660079051384
1000,Independent Floor,3,mayur vihar phase 1,17000,17.0,19561.660079051384
900,Independent Floor,3,mayur vihar phase 1,17000,18.88888888888889,19561.660079051384
550,Independent Floor,2,mayur vihar phase 1,10000,18.181818181818183,19561.660079051384
630,Independent Floor,2,mayur vihar phase 1,13000,20.634920634920636,19561.660079051384
650,Independent Floor,2,mayur vihar phase 1,14000,21.53846153846154,19561.660079051384
1100,Independent Floor,3,mayur vihar phase 1,23000,20.90909090909091,19561.660079051384
850,Independent Floor,2,mayur vihar phase 1,19000,22.352941176470587,19561.660079051384
650,Independent Floor,2,mayur vihar phase 1,15500,23.846153846153847,19561.660079051384
600,Independent Floor,2,mayur vihar phase 1,11000,18.333333333333332,19561.660079051384
650,Independent Floor,2,mayur vihar phase 1,14000,21.53846153846154,19561.660079051384
600,Independent Floor,2,mayur vihar phase 1,11500,19.166666666666668,19561.660079051384
580,Independent Floor,2,mayur vihar phase 1,10500,18.103448275862068,19561.660079051384
550,Independent Floor,2,mayur vihar phase 1,9000,16.363636363636363,19561.660079051384
700,Independent Floor,2,mayur vihar phase 1,17000,24.285714285714285,19561.660079051384
550,Independent Floor,2,mayur vihar phase 1,10000,18.181818181818183,19561.660079051384
1000,Independent Floor,3,mayur vihar phase 1,18000,18.0,19561.660079051384
620,Independent Floor,2,mayur vihar phase 1,11000,17.741935483870968,19561.660079051384
1100,Independent Floor,3,mayur vihar phase 1,20000,18.181818181818183,19561.660079051384
620,Independent Floor,2,mayur vihar phase 1,15000,24.193548387096776,19561.660079051384
620,Independent Floor,2,mayur vihar phase 1,9000,14.516129032258064,19561.660079051384
